prospect_id,feed_date,last_seen_at,freshness_tier,lead_type,product_interest,market,language,name_or_profile,domain,mx_status,source_url,public_email,public_phone,whatsapp_url,guessed_email_candidates,deliverability_status,contact_url,public_social_links,contact_status,activity_signal,activity_score,compliance_status,recommended_offer,next_action
PUB-2026-07-12-www-coindesk-com-advertise,2026-07-12,2026-07-12T13:45:19.258Z,hot_24h,Crypto Media / Publisher,Crypto Futures,Global,English,Advertise,coindesk.com,mx_found,https://www.coindesk.com/advertise/,advertising@coindesk.com; media@coindesk.com; events@coindesk.com; contentlicensing@coindesk.com; support@coindesk.com; recruiting@coindesk.com,,,,public_email_unverified,https://www.coindesk.com/contact; https://www.coindesk.com/contact-us; https://www.coindesk.com/advertise; https://www.coindesk.com/advertising; https://www.coindesk.com/advertising-info; https://www.coindesk.com/media-kit; https://www.coindesk.com/sponsor; https://www.coindesk.com/sponsorship; https://www.coindesk.com/partners; https://www.coindesk.com/partner; https://www.coindesk.com/partner-program; https://www.coindesk.com/affiliates; https://www.coindesk.com/affiliate; https://www.coindesk.com/affiliate-program; https://www.coindesk.com/advertise; https://www.coindesk.com/es/advertise; https://www.coindesk.com/uk/advertise; https://www.coindesk.com/ru/advertise; https://www.coindesk.com/fil/advertise; https://www.coindesk.com/it/advertise; https://www.coindesk.com/fr/advertise; https://www.coindesk.com/pt-br/advertise; https://www.coindesk.com/contact-us; https://www.coindesk.com/es/contact-us; https://www.coindesk.com/uk/contact-us; https://www.coindesk.com/ru/contact-us; https://www.coindesk.com/fil/contact-us; https://www.coindesk.com/it/contact-us; https://www.coindesk.com/fr/contact-us; https://www.coindesk.com/pt-br/contact-us; https://www.coindesk.com/advertise; https://www.coindesk.com/es/advertise; https://www.coindesk.com/uk/advertise; https://www.coindesk.com/ru/advertise; https://www.coindesk.com/fil/advertise; https://www.coindesk.com/it/advertise; https://www.coindesk.com/fr/advertise; https://www.coindesk.com/pt-br/advertise,https://twitter.com/coindesk; https://linkedin.com/company/coindesk; https://www.youtube.com/coindesk; https://www.tiktok.com/@coindesk/; https://t.me/CoinDeskGlobal,public_business_email_found,Public page reviewed: Advertise,100,public_page_contact_review_required,Crypto exchange affiliate/partner outreach,"Manually verify business relevance, then send compliant one-to-one B2B outreach."
PUB-2026-07-12-www-forexlive-com,2026-07-12,2026-07-12T13:45:19.258Z,hot_24h,FX Media / Publisher,FX,Global,English,"News & Analysis for Stocks, Crypto & Forex | investingLive",forexlive.com,mx_found,https://www.forexlive.com,,,,ib@forexlive.com; partnerships@forexlive.com; partners@forexlive.com; affiliate@forexlive.com; affiliates@forexlive.com; advertising@forexlive.com; ads@forexlive.com; media@forexlive.com,candidate_pattern_mx_found,https://www.forexlive.com/contact; https://www.forexlive.com/contact-us; https://www.forexlive.com/contact-us; https://investinglive.com/contact-us; https://www.forexlive.com/contact-us; https://investinglive.com/contact-us; https://www.forexlive.com/contact-us,https://x.com/investinglive_; https://t.me/investinglivenews; https://www.youtube.com/@investinglive_official; https://www.linkedin.com/company/investinglive,public_contact_page_found,"Public page reviewed: News & Analysis for Stocks, Crypto & Forex | investingLive",100,public_page_contact_review_required,FX broker affiliate/IB outreach,Review page for creator/community fit; use contact page or candidate role email only after manual verification.
PUB-2026-07-12-www-earnforex-com,2026-07-12,2026-07-12T13:45:19.258Z,hot_24h,FX Education / Tools Publisher,FX,Global,English,Forex Trading Information,earnforex.com,mx_found,https://www.earnforex.com,webmaster@earnforex.com,,,,public_email_unverified,https://www.earnforex.com/contact; https://www.earnforex.com/contact/; https://www.earnforex.com/ru/contact/,https://www.youtube.com/c/earnforexvideo; https://x.com/EarnForexBlog,public_business_email_found,Public page reviewed: Forex Trading Information,100,public_page_contact_review_required,FX broker affiliate/IB outreach,"Manually verify business relevance, then send compliant one-to-one B2B outreach."
PUB-2026-07-12-decrypt-co,2026-07-12,2026-07-12T13:45:19.258Z,hot_24h,Crypto Media / Publisher,Crypto Futures,Global,English,"Decrypt: AI, Bitcoin, Culture, Gaming, and Crypto News - Decrypt",decrypt.co,mx_found,https://decrypt.co,,,,partnerships@decrypt.co; partners@decrypt.co; affiliate@decrypt.co; affiliates@decrypt.co; advertising@decrypt.co; ads@decrypt.co; media@decrypt.co; business@decrypt.co,candidate_pattern_mx_found,https://decrypt.co/sponsor; https://dastan.co/partner; https://www.dastan.co/partner; https://decrypt.co/sponsor; https://decrypt.co/zh-Hans/sponsor; https://decrypt.co/sponsor#XMLID_6_; https://decrypt.co/sponsor#XMLID_2_; https://dastan.co/partner; https://www.dastan.co/partner,https://twitter.com/decryptmedia; https://www.linkedin.com/company/decrypt-media; https://www.tiktok.com/@decryptmedia; https://www.youtube.com/c/DecryptMedia; https://t.me/DecryptNews,public_contact_page_found,"Public page reviewed: Decrypt: AI, Bitcoin, Culture, Gaming, and Crypto News - Decrypt",100,public_page_contact_review_required,Crypto exchange affiliate/partner outreach,Review page for creator/community fit; use contact page or candidate role email only after manual verification.
PUB-2026-07-12-ambcrypto-com,2026-07-12,2026-07-12T13:45:19.258Z,hot_24h,Crypto Media / Publisher,Crypto Futures,Global,English,"Latest News About Cryptocurrency, Bitcoin, Altcoin - AMBCrypto",ambcrypto.com,mx_found,https://ambcrypto.com,editor@ambcrypto.com; advertise@ambcrypto.com; partners@ambcrypto.com,,,,public_email_unverified,https://ambcrypto.com/contact; https://ambcrypto.com/contact-us; https://ambcrypto.com/advertise; https://ambcrypto.com/partners; https://ambcrypto.com/partner; https://ambcrypto.com/contact-us/; https://ambcrypto.com/contact-us/; https://ambcrypto.com/contact#content; mailto:editor@ambcrypto.com; mailto:advertise@ambcrypto.com; mailto:partners@ambcrypto.com; https://ambcrypto.com/contact-us/; https://ambcrypto.com/contact-us#content; mailto:editor@ambcrypto.com; mailto:advertise@ambcrypto.com; mailto:partners@ambcrypto.com; https://ambcrypto.com/advertise#content; mailto:advertise@ambcrypto.com; https://ambcrypto.com/contact-us/; https://ambcrypto.com/partners/; https://ambcrypto.com/partners#content; https://ambcrypto.com/contact-us/; https://ambcrypto.com/partners/; https://ambcrypto.com/partner#content; https://ambcrypto.com/contact-us/,https://x.com/CryptoAmb; https://www.youtube.com/channel/UC8kD7TvdcdQUMvURhSnho4A; https://www.linkedin.com/company/13629485/; https://twitter.com/CryptoAmb; https://www.linkedin.com/company/ambcrypto/,public_business_email_found,"Public page reviewed: Latest News About Cryptocurrency, Bitcoin, Altcoin - AMBCrypto",100,public_page_contact_review_required,Crypto exchange affiliate/partner outreach,"Manually verify business relevance, then send compliant one-to-one B2B outreach."
PUB-2026-07-12-www-newsbtc-com,2026-07-12,2026-07-12T13:45:19.258Z,hot_24h,Crypto Media / Publisher,Crypto Futures,Global,English,The Latest Bitcoin News & Expert Crypto Insights | NewsBTC,newsbtc.com,mx_found,https://www.newsbtc.com,contact@newsbtc.com,,,,public_email_unverified,https://www.newsbtc.com/contact; https://www.newsbtc.com/advertise; https://www.newsbtc.com/advertising; https://www.newsbtc.com/contact/; https://www.newsbtc.com/contact/; https://www.newsbtc.com/es/contact/; https://www.newsbtc.com/contact#; https://www.newsbtc.com/contact#back-to-top; https://www.newsbtc.com/contact/,https://t.me/newsbtcofficial; https://twitter.com/newsbtc; https://t.me/s/newsbtcofficial; https://www.youtube.com/channel/UC9v9erBEru5y4c3FA0wehEw,public_business_email_found,Public page reviewed: The Latest Bitcoin News & Expert Crypto Insights | NewsBTC,100,public_page_contact_review_required,Crypto exchange affiliate/partner outreach,"Manually verify business relevance, then send compliant one-to-one B2B outreach."
PUB-2026-07-12-www-stocktwits-com,2026-07-12,2026-07-12T13:45:19.258Z,hot_24h,Stock / Crypto Community Platform,Stocks / Options,Global,English,"Stocktwits - Stock Market Live Quotes, Social Community Discussions, News, Stock Rankings & Earnings",stocktwits.com,mx_found,https://www.stocktwits.com,abasu@stocktwits.com,,,,public_email_unverified,https://www.stocktwits.com/contact; https://www.stocktwits.com/advertising; https://www.stocktwits.com/sponsor; https://www.stocktwits.com/partners; https://www.stocktwits.com/partner; https://www.stocktwits.com/affiliates; https://www.stocktwits.com/affiliate; https://stocktwits.com/about/contact/?subject=Advertising%20Inquiries; https://stocktwits.com/contact; https://www.stocktwits.com/contact/following; https://www.stocktwits.com/contact/followers; https://stocktwits.com/sponsor; https://www.stocktwits.com/Sponsor/following; https://www.stocktwits.com/Sponsor/followers; https://stocktwits.com/partners; https://www.stocktwits.com/Partners/following; https://www.stocktwits.com/Partners/followers; https://stocktwits.com/partner; https://www.stocktwits.com/partner/following; https://www.stocktwits.com/partner/followers; https://stocktwits.com/affiliates; https://www.stocktwits.com/affiliates/following; https://www.stocktwits.com/affiliates/followers; https://stocktwits.com/affiliate; https://www.stocktwits.com/Affiliate/following; https://www.stocktwits.com/Affiliate/followers,https://www.youtube.com/c/stocktwits; https://twitter.com/stocktwits; https://www.youtube.com/@stocktwits; https://www.stocktwits.com/about-newsroom/; https://stocktwits.com/contact,public_business_email_found,"Public page reviewed: Stocktwits - Stock Market Live Quotes, Social Community Discussions, News, Stock Rankings & Earnings",100,public_page_contact_review_required,Trading platform partnership outreach,"Manually verify business relevance, then send compliant one-to-one B2B outreach."
PUB-2026-07-12-www-tradingview-com-ideas-forex,2026-07-12,2026-07-12T13:45:19.258Z,hot_24h,Trading Content Source,FX,Global,English,Forex — Trading Ideas on TradingView,tradingview.com,mx_found,https://www.tradingview.com/ideas/forex/,,,,ib@tradingview.com; partnerships@tradingview.com; partners@tradingview.com; affiliate@tradingview.com; affiliates@tradingview.com; advertising@tradingview.com; ads@tradingview.com; media@tradingview.com,candidate_pattern_mx_found,https://www.tradingview.com/advertising-info; https://www.tradingview.com/media-kit; https://www.tradingview.com/partner-program; https://www.tradingview.com/media-kit/; https://www.tradingview.com/advertising-info/; https://www.tradingview.com/partner-program/; https://www.tradingview.com/advertising-info/; https://in.tradingview.com/advertising-info/; https://de.tradingview.com/advertising-info/; https://fr.tradingview.com/advertising-info/; https://es.tradingview.com/advertising-info/; https://it.tradingview.com/advertising-info/; https://pl.tradingview.com/advertising-info/; https://tr.tradingview.com/advertising-info/; https://www.tradingview.com/media-kit/; https://in.tradingview.com/media-kit/; https://de.tradingview.com/media-kit/; https://fr.tradingview.com/media-kit/; https://es.tradingview.com/media-kit/; https://it.tradingview.com/media-kit/; https://pl.tradingview.com/media-kit/; https://tr.tradingview.com/media-kit/; https://www.tradingview.com/partner-program/; https://in.tradingview.com/partner-program/; https://de.tradingview.com/partner-program/; https://fr.tradingview.com/partner-program/; https://es.tradingview.com/partner-program/; https://it.tradingview.com/partner-program/; https://pl.tradingview.com/partner-program/; https://tr.tradingview.com/partner-program/,https://x.com/tradingview/; https://www.youtube.com/@TradingView; https://www.linkedin.com/company/tradingview/; https://t.me/tradingview/; https://www.tiktok.com/@tradingview/,public_contact_page_found,Public page reviewed: Forex — Trading Ideas on TradingView,100,public_page_contact_review_required,FX broker affiliate/IB outreach,Review page for creator/community fit; use contact page or candidate role email only after manual verification.
PUB-2026-07-12-www-tradingview-com-ideas-gold,2026-07-12,2026-07-12T13:45:19.258Z,hot_24h,Trading Content Source,Metals / Energy CFD,Global,English,Gold — Trading Ideas on TradingView,tradingview.com,mx_found,https://www.tradingview.com/ideas/gold/,,,,ib@tradingview.com; partnerships@tradingview.com; partners@tradingview.com; affiliate@tradingview.com; affiliates@tradingview.com; advertising@tradingview.com; ads@tradingview.com; media@tradingview.com,candidate_pattern_mx_found,https://www.tradingview.com/advertising-info; https://www.tradingview.com/media-kit; https://www.tradingview.com/partner-program; https://www.tradingview.com/media-kit/; https://www.tradingview.com/advertising-info/; https://www.tradingview.com/partner-program/; https://www.tradingview.com/advertising-info/; https://in.tradingview.com/advertising-info/; https://de.tradingview.com/advertising-info/; https://fr.tradingview.com/advertising-info/; https://es.tradingview.com/advertising-info/; https://it.tradingview.com/advertising-info/; https://pl.tradingview.com/advertising-info/; https://tr.tradingview.com/advertising-info/; https://www.tradingview.com/media-kit/; https://in.tradingview.com/media-kit/; https://de.tradingview.com/media-kit/; https://fr.tradingview.com/media-kit/; https://es.tradingview.com/media-kit/; https://it.tradingview.com/media-kit/; https://pl.tradingview.com/media-kit/; https://tr.tradingview.com/media-kit/; https://www.tradingview.com/partner-program/; https://in.tradingview.com/partner-program/; https://de.tradingview.com/partner-program/; https://fr.tradingview.com/partner-program/; https://es.tradingview.com/partner-program/; https://it.tradingview.com/partner-program/; https://pl.tradingview.com/partner-program/; https://tr.tradingview.com/partner-program/,https://x.com/tradingview/; https://www.youtube.com/@TradingView; https://www.linkedin.com/company/tradingview/; https://t.me/tradingview/; https://www.tiktok.com/@tradingview/,public_contact_page_found,Public page reviewed: Gold — Trading Ideas on TradingView,100,public_page_contact_review_required,Trading platform partnership outreach,Review page for creator/community fit; use contact page or candidate role email only after manual verification.
PUB-2026-07-12-www-tradingview-com-ideas-crypto,2026-07-12,2026-07-12T13:45:19.258Z,hot_24h,Trading Content Source,Crypto Futures,Global,English,Crypto — Trading Ideas on TradingView,tradingview.com,mx_found,https://www.tradingview.com/ideas/crypto/,,,,partnerships@tradingview.com; partners@tradingview.com; affiliate@tradingview.com; affiliates@tradingview.com; advertising@tradingview.com; ads@tradingview.com; media@tradingview.com; business@tradingview.com,candidate_pattern_mx_found,https://www.tradingview.com/advertising-info; https://www.tradingview.com/media-kit; https://www.tradingview.com/partner-program; https://www.tradingview.com/media-kit/; https://www.tradingview.com/advertising-info/; https://www.tradingview.com/partner-program/; https://www.tradingview.com/advertising-info/; https://in.tradingview.com/advertising-info/; https://de.tradingview.com/advertising-info/; https://fr.tradingview.com/advertising-info/; https://es.tradingview.com/advertising-info/; https://it.tradingview.com/advertising-info/; https://pl.tradingview.com/advertising-info/; https://tr.tradingview.com/advertising-info/; https://www.tradingview.com/media-kit/; https://in.tradingview.com/media-kit/; https://de.tradingview.com/media-kit/; https://fr.tradingview.com/media-kit/; https://es.tradingview.com/media-kit/; https://it.tradingview.com/media-kit/; https://pl.tradingview.com/media-kit/; https://tr.tradingview.com/media-kit/; https://www.tradingview.com/partner-program/; https://in.tradingview.com/partner-program/; https://de.tradingview.com/partner-program/; https://fr.tradingview.com/partner-program/; https://es.tradingview.com/partner-program/; https://it.tradingview.com/partner-program/; https://pl.tradingview.com/partner-program/; https://tr.tradingview.com/partner-program/,https://x.com/tradingview/; https://www.youtube.com/@TradingView; https://www.linkedin.com/company/tradingview/; https://t.me/tradingview/; https://www.tiktok.com/@tradingview/,public_contact_page_found,Public page reviewed: Crypto — Trading Ideas on TradingView,100,public_page_contact_review_required,Crypto exchange affiliate/partner outreach,Review page for creator/community fit; use contact page or candidate role email only after manual verification.
